Seq | Data_Center_Code | Parameter_Name | Unit | Places_Before | Places_After | Minimum_Value | Maximum_Value | Originally_Entered_By | Originally_Parameter_Description
90000364 | 20 | Sb-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Antimony - Sediment
90000366 | 20 | Sc-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Scandium - Sediment
90000260 | 20 | Se | mg/m3 | 10 | 10 | -1.00000 | 1000.00000 | BCPIERRE | Selenium - filtered or unfiltered
90000121 | 90 | secchi_depth | m | 3 | 2 | 0.01000 | 999.99000 | MARY | secchi
90000055 | 90 | Sediment oil | ug/g | 3 | 2 | 0.00000 | 50.00000 | P. Strain | Oil in sediments
90000214 | 20 | Sedimentating_C | mg/m2/day | 5 | 5 | 0.00000 | 2000.00000 | MARY | Sedimentating_Carbon
90000212 | 20 | Sedimentating_Chl | mg/m2/day | 5 | 5 | 0.00000 | 2000.00000 | MARY | Sedimentating_Chl
90000216 | 20 | Sedimentating_IncT | hours | 3 | 1 | 0.00000 | 100.00000 | MARY | Sedimentating_Incubation_Time
90000215 | 20 | Sedimentating_N | mg/m2/day | 5 | 5 | 0.00000 | 2000.00000 | MARY | Sedimentating_Nitrogen
90000213 | 20 | Sedimentating_Phaeo | mg/m2/day | 5 | 5 | 0.00000 | 2000.00000 | MARY | Sedimentating_Phaeo
90000210 | 20 | Sedimentating_POC | mg/m2/day | 5 | 5 | 0.00000 | 2000.00000 | MARY | Sedimentating_POC
90000211 | 20 | Sedimentating_PON | mg/m2/day | 5 | 5 | 0.00000 | 2000.00000 | MARY | Sedimentating PON
90000248 | 20 | Se-particulate | ug/g | 10 | 10 | -1.00000 | 1000.00000 | BCPIERRE | Selenium - particulate
90000368 | 20 | Se-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Selenium - Sediment
90000012 | 90 | Silicate | mmol/m3 | 4 | 2 | 0.00000 | 260.00000 | P. Strain | Dissolved reactive silicate
90000193 | 20 | Size-LengthRangeMin | mm | 5 | 3 | 0.00000 | 10000.00000 | MARY | size measurement, length range minimum
90000270 | 20 | Sn | mg/m3 | 1 | 1 | -1.00000 | 5.00000 | BCPIERRE | Tin - filtered or unfiltered
90000196 | 20 | SnowDepthRange | cm | 4 | 1 | 0.00000 | 9999.00000 | MARY | depth range of snow (ice algae studies)
90000250 | 20 | Sn-particulate | ug/g | 3 | 1 | -1.00000 | 250.00000 | BCPIERRE | Tin - particulate
90000370 | 20 | Sn-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Tin - Sediment
